MSGSIZES,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576
L0_0_1,0.4608,0.4248,0.4236,0.4248,0.4258,0.44,0.4452,0.9183,0.645,0.6,0.7748,1.0632,1.6947,1.8674,5.1706,6.0229,8.0244,13.3981,26.4688,50.1912,96.3575
L0_0_2,0.4577,0.4348,0.4333,0.4336,0.4324,0.445,0.453,0.8486,0.5761,0.6488,0.7963,1.0296,1.5781,1.8468,5.1978,6.0519,8.1471,13.6894,28.3781,56.1662,112.1969
L0_1_1,0.7923,0.7681,0.7631,0.7683,0.7767,0.8357,0.8333,1.2673,1.0438,1.08,1.4716,1.832,2.6606,3.042,5.96,6.9462,9.1317,14.1321,27.2592,50.905,96.8517
L0_1_2,0.8286,0.81,0.7967,0.8007,0.7993,0.9047,0.9143,1.2569,0.994,1.1593,1.525,1.8415,2.6507,3.2875,6.0123,7.0308,9.1142,14.7158,29.125,57.4042,113.1108
L0_1_3,1.0156,0.9971,1.0007,0.9969,0.9947,1.0838,1.0808,1.5907,1.3725,1.4823,1.8331,2.2087,3.1115,4.0571,6.0885,7.2625,9.2175,14.9392,30.1842,65.3708,132.895
L0_1_4,0.8475,0.8213,0.8133,0.8141,0.828,0.915,0.8953,1.2854,1.0538,1.2408,1.6067,1.9823,2.9043,4.2285,6.1175,7.1608,9.9233,15.9558,32.8483,81.4875,164.8617
L0_2_1,1.13,1.1,1.1,1.1062,1.1036,1.2436,1.23,1.6727,1.4323,1.5285,2.0957,2.5282,3.6309,4.204,6.545,7.658,10.015,16.54,34.095,67.233,128.517
L0_2_2,1.1736,1.1342,1.1309,1.1455,1.141,1.306,1.3236,1.699,1.4209,1.667,2.183,2.5718,3.6267,4.6273,6.769,7.879,10.271,17.198,36.047,73.954,144.097
L0_2_3,1.4262,1.4013,1.39,1.3844,1.4025,1.5308,1.5255,2.1085,1.859,2.026,2.53,3.0127,4.2042,5.8475,6.8718,7.99,10.383,17.085,39.741,91.924,182.059
L0_2_4,1.34,1.3082,1.315,1.2983,1.3127,1.4155,1.382,1.77,1.6127,1.8282,2.2567,2.6918,3.8382,5.458,6.819,7.9982,10.848,17.951,44.419,115.045,231.741
L0_2_5,1.4336,1.4008,1.3885,1.4,1.3958,1.555,1.5645,2.231,1.9292,2.0273,2.6055,3.2558,4.687,6.341,7.0891,8.27,11.172,19.276,51.87,134.899,271.254
L0_2_6,1.5164,1.4991,1.472,1.482,1.4767,1.6818,1.6525,2.175,1.9218,2.065,2.5127,3.169,4.675,6.378,7.211,8.471,11.892,22.442,53.483,149.407,295.582
L0_2_7,1.485,1.452,1.4518,1.4427,1.4473,1.611,1.606,2.2627,2.0258,2.1218,2.748,3.511,5.249,7.487,7.97,9.8591,15.895,32.239,64.427,171.95,347.094
L0_2_8,1.2791,1.245,1.2367,1.241,1.242,1.3783,1.38,1.8733,1.6327,1.7708,2.3645,3.0727,4.8064,7.338,7.035,8.441,12.429,22.97,65.566,205.28,413.652
L1_0_1,1.4892,1.4875,1.4773,1.4691,1.4738,1.5927,1.9436,1.706,2.14,2.5309,3.188,3.418,4.4358,5.8136,7.56,8.835,11.404,16.3425,26.326,46.3109,86.3145
L1_0_10,1.643,1.6167,1.6291,1.6318,1.6367,1.7073,2.142,1.977,2.375,2.6782,3.377,3.675,4.813,6.2864,11.38,20.379,41.441,81.711,162.229,325.667,655.98
L1_0_11,1.6142,1.6086,1.6173,1.6075,1.5967,1.7021,2.134,1.997,2.337,2.667,3.3582,3.75,4.92,6.497,12.18,20.5173,37.1973,77.418,158.618,322.783,659.222
L1_0_12,1.613,1.6009,1.603,1.5955,1.5975,1.672,2.159,2.003,2.373,2.7164,3.3691,3.823,4.928,6.5827,13.307,23.886,44.689,87.584,171.26,337.972,675.021
L1_0_13,1.5836,1.578,1.5908,1.58,1.5827,1.6527,2.062,1.9927,2.3545,2.674,3.356,3.787,4.8764,6.496,13.635,22.896,42.213,84.096,166.717,332.964,668.848
L1_0_14,1.599,1.584,1.5827,1.586,1.5836,1.6673,2.055,1.956,2.311,2.617,3.3133,3.714,4.8664,6.397,13.99,21.785,39.967,81.148,162.666,323.294,650.191
L1_0_15,1.611,1.62,1.6336,1.6008,1.6338,1.708,2.13,1.97,2.362,2.649,3.281,3.777,4.854,6.475,14.95,22.794,38.659,76.502,169.203,334.525,661.634
L1_0_16,1.61,1.606,1.5958,1.6009,1.595,1.669,2.263,2.014,2.3736,2.722,3.372,3.894,5.023,6.758,15.796,26.74,48.783,105.945,182.751,358.535,721.42
L1_0_17,1.743,1.7408,1.7382,1.7555,1.7255,1.798,2.3655,2.15,2.515,2.846,3.46,4.0,5.226,6.8982,16.45,30.85,61.405,119.974,213.324,402.703,779.552
L1_0_18,1.618,1.601,1.595,1.59,1.5955,1.6664,2.1418,1.993,2.44,2.6918,3.376,3.8318,4.9755,6.6718,17.012,31.637,61.759,120.741,214.103,400.436,771.626
L1_0_19,1.6425,1.6125,1.6182,1.635,1.6282,1.6882,2.344,2.053,2.4891,2.807,3.448,3.93,5.179,6.871,17.95,32.7645,63.115,124.227,211.643,409.915,818.931
L1_0_2,1.632,1.59,1.603,1.5864,1.6117,1.666,1.9773,1.85,2.1983,2.5409,3.2445,3.505,4.5017,5.9555,7.84,9.201,12.159,20.654,40.397,80.214,159.7773
L1_0_20,1.64,1.6309,1.625,1.626,1.6321,1.7073,2.1745,2.0642,2.43,2.744,3.39,3.92,5.1018,6.781,18.568,33.352,63.559,125.427,222.204,415.804,819.729
L1_0_21,1.634,1.606,1.629,1.626,1.6291,1.6745,2.297,2.083,2.599,2.867,3.428,3.96,5.151,6.981,19.089,32.943,62.701,123.877,231.058,418.532,797.329
L1_0_22,1.6245,1.6155,1.6123,1.617,1.6273,1.6925,2.307,2.061,2.557,2.828,3.406,3.997,5.199,7.009,19.736,32.611,59.446,118.762,237.88,429.934,824.348
L1_0_23,1.5979,1.6109,1.6218,1.616,1.6036,1.6892,2.252,2.09,2.55,2.8555,3.429,3.927,5.103,6.948,20.156,34.122,60.877,105.845,239.872,429.812,817.07
L1_0_24,1.5669,1.577,1.5817,1.5727,1.5782,1.6638,2.27,2.0218,2.516,2.8082,3.37,3.915,5.134,6.952,20.864,38.0782,76.625,150.143,257.051,452.523,827.575
L1_0_25,1.5927,1.5855,1.5809,1.585,1.587,1.6593,2.315,2.0658,2.4973,2.804,3.416,3.928,5.13,6.866,21.544,40.5,78.161,154.129,265.884,446.563,787.316
L1_0_26,1.5871,1.554,1.5808,1.5691,1.5536,1.633,2.225,2.0408,2.505,2.8,3.419,3.912,4.967,6.809,21.939,41.991,80.028,153.944,265.96,441.811,797.911
L1_0_27,1.5782,1.58,1.5692,1.5958,1.5858,1.661,2.215,2.0145,2.5442,2.7808,3.328,3.893,5.002,6.848,22.859,43.492,81.943,160.612,273.443,456.428,833.571
L1_0_28,1.582,1.565,1.5655,1.568,1.5564,1.6208,2.222,2.0583,2.61,2.836,3.4391,3.9464,5.0918,6.974,23.318,43.384,79.579,158.821,279.032,449.582,808.579
