MSGSIZES,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576
L1_0_20,1.59,1.58,1.5733,1.6025,1.58,1.66,2.0367,1.8175,2.29,2.5533,3.1533,3.5625,4.752,6.5533,17.4767,29.9267,57.1933,119.7333,213.01,415.2633,786.93
L1_0_21,1.6367,1.6325,1.6533,1.6333,1.6333,1.725,2.34,2.03,2.4,2.7467,3.5733,4.0567,5.21,7.0767,19.3767,32.6767,62.2033,125.2967,231.7233,421.0733,827.23
L1_0_22,1.63,1.65,1.6567,1.6267,1.62,1.715,2.14,2.07,2.4367,2.74,3.4633,3.87,5.0933,6.9133,19.7333,32.38,58.2833,117.2633,235.8033,422.33,761.0633
L1_0_23,1.5133,1.4933,1.4775,1.4867,1.4933,1.5567,1.9933,1.8167,2.3575,2.5667,3.15,3.5633,4.6733,6.45,20.18,34.2633,61.1433,105.1133,239.3467,417.9467,759.56
L1_0_24,1.5467,1.5533,1.5475,1.52,1.525,1.61,1.9933,1.8867,2.4367,2.6633,3.2233,3.69,4.81,6.58,19.5767,33.0767,64.14,132.81,241.5467,419.5733,772.0933
L1_0_25,1.6333,1.6067,1.6167,1.61,1.6,1.6667,2.3333,2.0475,2.54,2.79,3.3867,3.9867,5.19,6.8967,21.4367,40.7267,80.1033,154.15,262.9133,433.4033,788.6667
L1_0_26,1.54,1.51,1.5225,1.5167,1.51,1.594,1.9733,1.8567,2.3733,2.6433,3.2233,3.7333,4.8033,6.535,21.67,41.36,79.5467,155.07,277.49,456.57,787.75
L1_0_27,1.5567,1.5767,1.5833,1.595,1.5867,1.6233,2.07,1.8867,2.3867,2.64,3.27,3.6567,4.7267,6.77,21.92,41.5767,78.46,152.9367,248.8633,412.2067,728.2033
L1_0_28,1.57,1.56,1.5333,1.5525,1.5567,1.6333,2.3433,1.97,2.4767,2.75,3.34,3.8833,5.0467,7.1733,23.47,44.4733,80.4433,160.3333,297.5867,463.89,878.01
L1_0_29,1.5667,1.5467,1.558,1.5333,1.55,1.6075,2.1033,1.9567,2.4733,2.72,3.2333,3.8033,4.9767,6.9033,24.15,46.09,78.28,153.74,295.09,453.91,792.12
L1_0_3,1.6667,1.6167,1.605,1.6133,1.63,1.6867,2.1033,1.8933,2.3033,2.6233,3.3067,3.6833,4.8967,6.48,8.5633,11.1933,17.21,30.0567,59.1933,118.97,238.6833
L1_0_30,1.5767,1.585,1.58,1.5633,1.58,1.6567,2.3733,2.01,2.6633,2.8567,3.3433,3.85,5.01,6.81,24.18,45.3467,73.21,143.2333,260.2233,440.4567,781.6433
L1_0_4,1.5533,1.5425,1.545,1.5275,1.56,1.62,2.17,1.8533,2.2133,2.52,3.2067,3.6067,4.6667,6.1267,8.0733,10.2067,16.65,31.5967,67.42,147.0967,304.9233
L1_0_5,1.6667,1.65,1.6567,1.6475,1.6467,1.73,2.0733,1.97,2.3433,2.6533,3.3033,3.9325,5.0567,6.85,9.0133,13.4967,25.4033,48.08,97.1,195.7833,393.21
L1_0_6,1.6067,1.5925,1.63,1.625,1.6175,1.71,2.0533,1.9767,2.3133,2.63,3.3467,3.795,4.8467,6.36,8.7967,12.3567,20.6267,41.8667,85.9067,203.5633,441.4867
L1_0_7,1.655,1.655,1.64,1.62,1.6575,1.7233,2.1733,2.0233,2.4167,2.7033,3.3333,3.7433,4.87,6.4033,9.67,15.2367,27.1933,54.96,110.2633,244.23,523.66
L1_0_8,1.47,1.4567,1.4567,1.4667,1.4533,1.568,1.8667,1.71,2.055,2.3775,3.0375,3.4833,4.5367,6.2233,8.7333,12.9267,21.7767,45.2167,95.22,242.68,575.0867
L1_0_9,1.5725,1.5633,1.5533,1.555,1.5433,1.6375,1.9733,1.78,2.1633,2.4733,3.1233,3.7267,4.83,6.98,10.3367,18.0825,43.6633,84.0333,164.96,324.15,644.3233
L1_1_1,2.37,2.3467,2.3633,2.33,2.3433,2.4667,2.7675,2.5767,3.0367,3.2975,3.99,4.28,5.5567,6.9533,10.32,11.6433,14.1567,19.1233,29.35,49.01,88.9633
L1_1_10,2.4775,2.5367,2.4967,2.5,2.5067,2.5967,3.1533,2.87,3.2867,3.58,4.1933,4.67,6.17,8.1167,14.0133,23.0067,45.32,85.83,165.1833,326.39,649.09
L1_1_11,2.42,2.3625,2.41,2.4133,2.4033,2.47,2.92,2.7433,3.0867,3.39,4.06,4.47,5.88,7.59,14.24,21.5067,37.7233,76.7967,156.7867,321.8533,643.4233
L1_1_12,2.4833,2.4833,2.5067,2.4833,2.47,2.5567,2.8633,2.7333,2.9967,3.235,3.97,4.3333,5.7567,7.3933,13.89,20.7433,34.8567,71.5733,157.1133,329.4067,674.6033
L1_1_13,2.5167,2.4525,2.52,2.5033,2.5033,2.6367,2.9333,2.88,3.18,3.4867,4.16,4.6133,5.9633,7.4533,15.6833,24.2333,41.6067,83.63,165.0367,336.55,674.85
L1_1_14,2.5267,2.4933,2.4833,2.4425,2.51,2.61,3.08,2.8667,3.19,3.4967,4.1533,4.6833,6.02,7.6633,16.4333,24.7533,43.1233,87.9833,168.5733,327.4133,660.28
L1_1_15,2.4667,2.4433,2.47,2.4633,2.4633,2.5667,2.9233,2.81,3.13,3.4233,4.1267,4.4033,5.76,7.31,16.51,23.06,36.32,72.8133,172.42,323.0933,620.8967
L1_1_16,2.4467,2.4233,2.3825,2.4333,2.45,2.5267,2.9733,2.8767,3.2233,3.5367,4.2433,5.0133,6.7667,8.9567,17.8833,30.0367,54.6467,109.38,197.5,392.5933,770.3533
L1_1_17,2.5075,2.5933,2.5667,2.5767,2.495,2.6167,3.2067,2.92,3.1633,3.4933,4.1233,4.81,6.07,7.6033,18.0133,31.4967,61.0633,116.3733,204.22,383.7633,744.9067
L1_1_18,2.3667,2.3767,2.37,2.32,2.3833,2.4567,3.0567,2.7267,3.1533,3.39,3.9833,4.6067,5.94,7.7,19.0567,33.5933,64.1833,121.2367,220.1133,408.22,777.6367
L1_1_19,2.4433,2.5267,2.4167,2.45,2.4167,2.5233,2.9333,2.71,3.1367,3.3375,3.87,4.4133,5.8633,7.5067,19.06,32.18,56.41,119.58,197.2933,386.8167,790.2333
L1_1_2,2.4833,2.4867,2.4867,2.4733,2.44,2.72,2.8733,2.6575,3.0867,3.3733,4.03,4.3267,5.5833,7.0433,10.5933,11.7567,14.35,22.0667,41.8,81.91,161.6167
L1_1_20,2.4667,2.62,2.6367,2.6233,2.5933,2.53,3.0433,2.6967,3.2333,3.36,4.1067,4.37,6.0033,7.56,19.7267,31.1133,58.6667,122.98,207.87,416.62,811.16
L1_1_21,2.4567,2.4267,2.4533,2.4333,2.385,2.55,3.0733,2.8367,3.16,3.46,4.15,4.5733,5.9533,7.6833,20.7633,33.5433,61.3933,123.65,221.6333,392.93,706.67
L1_1_22,2.4333,2.43,2.4433,2.3575,2.41,2.5067,2.9867,2.8233,3.1567,3.46,4.12,4.5933,5.9533,7.69,21.46,35.38,62.8767,124.4833,245.4867,432.1667,777.5767
L1_1_23,2.53,2.4967,2.47,2.48,2.5167,2.5833,3.1133,2.9067,3.3433,3.6033,4.26,4.82,6.19,8.06,22.6333,38.6367,67.52,119.9867,254.4233,454.64,839.5433
L1_1_24,2.4867,2.52,2.4225,2.4833,2.45,2.5533,3.0167,2.8633,3.4033,3.6333,4.16,4.7267,6.1667,7.89,23.11,41.0533,82.33,154.2,268.41,462.2033,868.58
L1_1_25,2.4933,2.5867,2.5167,2.4525,2.5333,2.5667,3.2,2.9967,3.34,3.61,4.2267,4.8033,6.1933,8.05,23.68,44.7433,83.9267,159.9633,275.15,456.5167,815.8567
L1_1_26,2.5333,2.5233,2.5,2.54,2.4933,2.59,3.1733,2.9067,3.3767,3.6133,4.1567,4.6967,6.0867,7.8067,24.27,44.07,84.16,161.46,279.6333,453.7467,841.7133
L1_1_27,2.38,2.38,2.39,2.38,2.3767,2.48,2.7867,2.7033,3.19,3.49,3.9233,4.5233,5.9733,7.7267,23.4667,37.9167,70.2733,150.3167,265.6667,445.44,780.3567
L1_1_28,2.4233,2.3425,2.4033,2.4167,2.41,2.4667,2.9667,2.7633,3.3,3.4967,4.0467,4.42,5.8167,7.65,25.1967,45.16,80.0933,159.1667,271.8033,431.6333,757.6033
L1_1_29,2.4667,2.4767,2.4633,2.4567,2.49,2.5567,3.0367,2.9067,3.5,3.68,4.25,4.7667,6.1967,8.0267,26.2933,47.7533,80.9333,161.7,310.7167,464.4833,856.9633
L1_1_3,2.4275,2.405,2.48,2.4333,2.44,2.52,2.9367,2.7567,3.0967,3.44,4.1167,4.3733,5.65,7.0967,10.7633,12.3667,16.6267,27.7667,56.51,117.15,235.69
L1_1_30,2.4667,2.53,2.4333,2.4467,2.4533,2.5,2.94,2.81,3.19,3.43,3.9675,4.4567,5.8567,7.63,25.3667,44.5333,77.22,148.0167,242.75,386.4967,662.9733
L1_1_4,2.6267,2.5025,2.64,2.6133,2.53,2.6733,3.0133,2.8233,3.2333,3.5767,4.1967,4.4833,5.84,7.23,11.2733,13.54,19.5633,33.8967,71.1133,149.5267,308.7333
L1_1_5,2.5275,2.5733,2.6,2.5567,2.5667,2.6767,3.0667,2.8733,3.26,3.55,4.23,4.5733,6.0667,7.9267,11.3367,14.41,27.73,49.8967,98.4433,198.1667,393.5
L1_1_6,2.4567,2.44,2.4533,2.3975,2.45,2.5533,2.93,2.7833,3.1133,3.42,4.08,4.3233,5.6633,7.11,11.18,14.36,21.0133,40.4867,85.4267,209.0967,454.5167
L1_1_7,2.4067,2.4367,2.42,2.4067,2.4367,2.5,2.9533,2.72,3.0733,3.3767,4.0567,4.3967,5.72,7.21,11.8867,16.1167,24.77,48.0733,97.9067,236.2133,509.0333
L1_1_8,2.5133,2.5133,2.5167,2.53,2.4867,2.61,3.1233,2.91,3.3267,3.6133,4.1933,4.6033,5.92,7.4,11.72,15.72,23.6933,48.6633,105.4233,278.5833,578.14
L1_1_9,2.6233,2.57,2.61,2.6267,2.62,2.6467,3.0467,2.8933,3.34,3.6533,4.23,4.6533,6.0667,7.96,13.0267,20.18,41.6567,80.9633,158.0333,314.47,633.9133
L1_2_1,2.61,2.61,2.6533,2.605,2.595,2.685,3.0567,2.855,3.28,3.655,4.29,4.54,5.9467,7.365,11.3167,12.585,15.17,20.135,30.07,50.215,90.21
L1_2_10,2.79,2.8267,2.775,2.77,2.755,2.865,3.325,3.1067,3.505,3.865,4.48,4.93,6.48,8.35,15.31,25.255,47.17,88.585,167.6,331.77,660.03
L1_2_11,2.695,2.645,2.65,2.66,2.6767,2.745,3.24,2.98,3.405,3.72,4.405,4.685,6.255,7.845,15.14,23.475,42.27,79.355,161.835,320.51,648.98
L1_2_12,2.805,2.795,2.81,2.79,2.795,2.885,3.3,3.135,3.44,3.745,4.465,4.92,6.43,7.935,15.85,25.225,44.935,85.285,166.195,324.605,656.395
L1_2_13,2.79,2.7867,2.78,2.775,2.78,2.88,3.42,3.105,3.475,3.78,4.425,4.98,6.39,7.975,16.87,27.36,47.745,88.745,171.505,335.04,675.11
L1_2_14,2.8367,2.815,2.775,2.785,2.785,2.89,3.25,3.115,3.45,3.7333,4.43,4.9933,6.66,8.255,17.365,27.31,48.005,91.01,175.3,343.43,693.61
L1_2_15,2.785,2.795,2.815,2.78,2.805,2.91,3.195,3.1367,3.455,3.79,4.47,4.965,6.4767,8.17,17.955,27.285,42.45,80.985,186.075,343.45,689.7
L1_2_16,2.795,2.81,2.815,2.8067,2.765,2.865,3.335,3.16,3.4633,3.7367,4.465,4.97,6.555,8.11,18.695,28.61,51.165,109.07,188.12,364.1,733.915
L1_2_17,2.71,2.74,2.695,2.75,2.695,2.755,3.0,2.9,3.335,3.615,4.14,4.605,6.145,7.995,18.065,28.495,64.445,122.505,212.405,389.54,784.64
L1_2_18,2.745,2.7,2.76,2.72,2.755,2.84,3.31,3.1,3.645,3.85,4.545,5.035,6.715,8.625,20.4,35.635,65.555,126.855,224.595,427.805,849.035
L1_2_19,2.76,2.74,2.73,2.725,2.745,2.81,3.0,2.965,3.325,3.62,4.22,4.715,6.27,8.0,19.88,32.77,59.965,124.26,191.255,373.04,761.58
L1_2_2,2.75,2.755,2.71,2.74,2.705,2.815,2.95,2.99,3.24,3.565,4.22,4.5433,5.925,7.37,11.395,12.76,15.725,24.85,44.72,85.36,165.06
L1_2_20,2.815,2.8233,2.785,2.805,2.795,2.94,3.295,3.18,3.56,3.8233,4.52,5.05,6.655,8.35,21.205,36.42,65.345,128.06,234.715,447.06,858.765
L1_2_21,2.74,2.735,2.76,2.74,2.755,2.82,3.29,3.14,3.515,3.79,4.475,5.105,6.765,8.45,21.925,35.625,63.175,126.88,236.45,427.36,820.555
L1_2_22,2.725,2.725,2.7467,2.715,2.745,2.855,2.975,2.945,3.315,3.64,4.275,4.735,6.235,8.015,21.27,33.22,60.425,123.71,237.955,442.23,806.635
L1_2_23,2.785,2.76,2.75,2.77,2.75,2.83,3.29,3.125,3.64,3.895,4.5067,5.1467,6.955,8.78,23.31,37.94,64.17,119.195,256.26,483.625,1015.6
L1_2_24,2.715,2.725,2.755,2.745,2.75,2.75,3.38,2.97,3.465,3.67,4.315,4.77,6.35,8.08,22.1,35.605,67.345,140.805,248.795,447.035,824.41
L1_2_25,2.785,2.74,2.745,2.755,2.74,2.825,3.34,3.185,3.575,3.945,4.63,5.115,6.505,8.395,24.32,44.425,83.6,159.05,271.755,453.365,806.88
L1_2_26,2.8,2.7567,2.715,2.715,2.735,2.8,3.335,3.09,3.52,3.865,4.36,4.815,6.4933,8.295,24.82,44.675,83.025,159.095,274.535,451.145,843.365
L1_2_27,2.805,2.75,2.715,2.72,2.8,2.8333,3.43,3.125,3.665,3.92,4.475,5.01,6.5767,8.35,25.82,46.51,84.845,164.71,287.685,461.23,901.305
L1_2_28,2.825,2.815,2.805,2.79,2.855,2.915,3.345,3.125,3.77,3.945,4.385,4.995,6.53,8.48,26.375,47.575,84.525,165.255,305.45,522.89,950.925
L1_2_29,2.685,2.68,2.675,2.73,2.665,2.77,3.085,3.0,3.595,3.79,4.135,4.685,6.2,8.04,26.97,46.685,81.085,160.375,284.4,442.39,815.65
L1_2_3,2.715,2.7667,2.715,2.735,2.725,2.83,3.135,2.98,3.25,3.57,4.245,4.57,5.965,7.375,11.62,13.065,16.77,27.075,56.12,115.675,234.83
L1_2_30,2.65,2.645,2.63,2.68,2.65,2.72,3.205,3.0533,3.59,3.81,4.295,4.78,6.335,8.135,27.3833,48.295,79.705,154.14,286.4,468.43,884.28
L1_2_4,2.725,2.685,2.73,2.74,2.71,2.8,3.14,2.965,3.26,3.575,4.195,4.58,5.935,7.45,11.44,13.01,16.805,29.3,62.22,142.115,301.795
L1_2_5,2.8,2.75,2.79,2.775,2.755,2.89,3.265,3.025,3.35,3.62,4.31,4.58,6.06,7.53,11.82,14.075,20.555,36.32,77.045,184.535,390.96
L1_2_6,2.735,2.725,2.785,2.72,2.745,2.835,3.24,3.1,3.5167,3.825,4.47,4.945,6.605,8.345,12.655,17.265,30.795,56.105,109.305,228.52,467.365
L1_2_7,2.74,2.745,2.765,2.75,2.745,2.845,3.12,2.99,3.2633,3.56,4.205,4.55,6.045,7.56,12.07,15.5,20.09,41.04,88.215,226.66,508.125
L1_2_8,2.735,2.695,2.69,2.72,2.68,2.795,2.98,2.95,3.26,3.515,4.185,4.585,5.965,7.425,12.14,15.54,21.445,44.325,91.74,244.285,567.44
L1_2_9,2.83,2.89,2.8,2.78,2.8,2.92,3.295,3.185,3.55,3.9,4.49,4.915,6.495,7.85,15.045,24.59,43.94,84.59,163.28,314.11,637.385
