MSGSIZES,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576
L0_1,1.2205,1.2181,1.2217,1.2132,1.2161,1.2687,1.4406,1.4267,1.8231,2.1693,2.8192,3.1175,4.0971,5.5082,6.9354,8.1638,10.7146,15.8043,26.1436,46.765,87.644
L0_10,1.7408,1.7614,1.7408,1.7436,1.7414,1.7921,2.122,2.2031,2.65,2.8831,3.3277,3.905,5.6762,7.74,14.2877,24.3529,52.7185,114.8623,235.4369,489.3723,1002.14
L0_11,2.2947,2.3193,2.2914,2.2986,2.2915,2.3383,2.7162,2.7469,3.1138,3.2631,3.7036,4.2008,5.6069,7.6762,15.6223,27.2262,58.5531,117.6554,235.4546,487.6069,1000.2046
L0_12,1.7931,1.8108,1.7954,1.8092,1.796,1.8414,2.2477,2.2808,2.6508,2.8936,3.3838,3.9638,5.5315,7.65,15.5754,27.1408,59.68,118.6515,233.9023,489.3615,999.6362
L0_13,2.3136,2.3493,2.3367,2.3353,2.3316,2.3743,2.7554,2.7846,3.1254,3.3138,3.7007,4.1985,5.4814,7.6693,17.8786,31.5323,65.8985,126.1623,257.0,536.8762,1072.7046
L0_14,2.3046,2.3446,2.32,2.3331,2.3133,2.3656,2.7069,2.7507,3.1164,3.305,3.6371,4.1907,5.5443,8.0362,18.8631,33.9477,69.9438,137.7423,277.9223,566.0477,1141.1408
L0_15,2.9133,2.9457,2.9269,2.9314,2.94,2.965,3.3343,3.3715,3.7531,3.9208,4.23,4.6915,5.6892,8.5569,21.8577,40.0177,81.1015,165.5946,320.7085,654.5062,1363.9415
L0_2,1.2553,1.2506,1.248,1.2477,1.2507,1.3282,1.6885,1.7393,2.1671,2.5231,3.0757,3.4464,4.564,6.4885,7.3108,8.9562,12.16,20.0708,37.4031,78.0062,159.6877
L0_3,1.684,1.6929,1.6953,1.6876,1.6886,1.7171,2.0862,2.1231,2.4154,2.7393,3.2046,3.6514,5.1469,7.3943,8.7562,10.96,16.4408,28.5453,55.8562,116.1054,238.505
