MSGSIZES,1,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576
L0_1,0.4611,0.4257,0.425,0.4258,0.4258,0.4427,0.445,0.904,0.6437,0.6005,0.7705,1.0593,1.684,1.8764,5.1287,6.0015,8.07,13.3223,25.6923,47.7885,92.7007
L0_10,1.3922,1.3653,1.358,1.366,1.3574,1.5219,1.5477,2.2364,1.986,2.0981,2.6757,3.3221,4.7471,7.6438,7.6862,10.1846,15.7254,27.1415,58.8869,134.9046,292.1223
L0_11,1.3411,1.3113,1.3006,1.2962,1.2947,1.45,1.4562,2.2011,1.9171,1.9821,2.5512,3.1564,4.3933,6.5762,8.0031,10.3123,15.7523,33.8146,66.6923,136.73,283.3608
L0_12,1.5261,1.5037,1.5,1.4963,1.4989,1.7144,1.684,2.2154,2.0533,2.1392,2.5929,3.1593,4.318,6.3915,8.0457,10.7031,15.9262,29.3862,64.3438,141.0892,289.404
L0_13,1.4229,1.3912,1.3894,1.3853,1.3912,1.5447,1.55,2.1986,1.9041,1.9847,2.4893,3.0,4.0614,5.8029,8.2785,11.3746,17.9638,33.3562,66.3069,146.1438,308.7462
L0_14,1.4429,1.3874,1.3877,1.3941,1.3893,1.5553,1.5605,2.2825,1.985,2.0579,2.5769,3.0814,4.1093,5.6,8.8562,11.82,18.6738,33.4723,63.9523,133.2777,278.9862
L0_15,1.4893,1.4406,1.4333,1.4315,1.432,1.5562,1.5807,2.2315,1.9306,1.9971,2.4973,2.9915,4.0214,5.4607,8.6715,11.5162,17.3792,29.2192,57.4523,123.6108,248.3129
L0_2,0.4724,0.4392,0.4367,0.4338,0.4359,0.4463,0.4527,0.85,0.5862,0.6536,0.794,1.0239,1.5819,1.8672,5.1527,6.0171,8.16,13.3392,26.5979,52.51,104.8992
L0_3,0.5936,0.564,0.567,0.5681,0.565,0.6047,0.6076,1.06,0.7938,0.8633,1.0244,1.2744,1.7986,2.1487,5.3246,6.2715,8.2338,13.3285,27.2838,61.3008,126.5015
L0_4,0.8363,0.8086,0.8088,0.8086,0.8024,0.8933,0.8894,1.2769,1.0393,1.2187,1.59,1.9646,2.8636,4.1971,6.0357,7.1123,9.8854,15.4031,31.4062,77.1531,156.57
L0_5,0.9346,0.9154,0.9021,0.9029,0.9033,1.0479,1.0286,1.6673,1.42,1.4436,1.8092,2.2307,3.1407,3.87,6.1407,7.1707,10.3927,18.1331,36.1254,84.08,173.7208
